id;v_rn;licence_id;result;message;i_d_number;client_id_type;first_name;last_name;address_1;address_2;suburb_id;lic_frequency;radio_tv_usage;radio_tv_frequency;tax_class;nett_mass;lic_expiry_date;transaction_amt;arrears_amt;penalties_amt;administration_amt;total_lic_amt;radio_tv_amt;radio_tv_arrears_amt;total_radio_tv_amt;total_amount
1;actual even quixotic;abnormally yum starchy;16898;reluctantly needily when;apud perfectly croup;as yahoo rude;Georgette;Legros;damp gah tether;scornful;whether times evenly;soupy anti stall;since successfully;end;pish whoever;failing intentional befriend;pink meh;if courageously;overdue;phooey;and jubilant meh;passionate now;steel or finally;dreamily roar on;guillotine thankful;fast
2;oddly;rapidly;29793;ha sympathetically;zowie picturize alongside;pish clothes ogle;Haskell;Carroll;underachieve close carelessly;anxiously huzzah;gravy yahoo;into founder;gadzooks;forked;in;upward helpfully curse;oh a;brisket;therapist suspiciously porch;reassure boohoo;across amass hospitable;excepting;including;materialize why;upliftingly swiftly backtrack;geez with not
3;canopy boo;mountainous juggle where;25332;boldly duh regroup;without tectonics;greatly;Neva;DuBuque;yowza;courageous gleefully;excitedly opportunist glamorous;fearless rapid;clinking;palatable;so how;ick but;whoa;pro;waistband over anchored;graceful belt;loyally;amidst for trellis;sandblast married;cooperate mammoth;and charter;minty
4;physically aha;weird interact;13546;obesity excitedly tortellini;region boastfully;hm incidentally how;Kyra;Marquardt;lime flustered;owe oh consequently;given ick;concoct;explore;what more stay;underneath;limply;gosh design;than bowdlerise feline;ecstatic;before frenetically mislead;month outside;steel vice far-off;instead boo;annually tire yowza;than;hourly how
5;yippee;whereas average;24264;tapioca fibroblast;blindfold quirkily;along;Emerald;Sanford;loudly cautiously whoa;these valentine during;apology for nonstop;intensely down;remote boohoo even;integrate drama;undertaker keenly wherever;closet zap;hmph;since incompetence beyond;encirclement pick woot;psst nourish yahoo;ouch;chassis;badly near;since around tomorrow;spice left;against lighthearted
6;yum each choreograph;sophisticated weighty;14576;copy;sheepishly phone;than tensely;Moises;Graham;midst;harden good;astride gadzooks;indicator;since;dream invest earth;who;internalise mostly;dislike angrily furiously;twine pfft;across;for polite ah;clash concerning bah;within quarrelsome ugh;uplift speaker silently;wax which inasmuch;loud phooey apud;hm wherever seize
7;anxious;for shrilly;30570;loft whether;phooey darling about;sympathize;Madison;Bernier-Jones;reluctantly big-hearted drat;breeze between pace;lack advise;for;but alteration intent;so;skipper failing pish;provided throb wake;wire eventually;until by;and yearningly;athwart yippee;never joyfully;that unnaturally afore;management epic however;instead spectacles;ah temper;eek
8;deceivingly opposite;conceive outside quietly;5358;misuse;skin dispatch against;whoa;Vallie;Becker;likewise exactly;hypothesis ha quaintly;kindly focused;thesis between drat;well-informed stealthily;toward;actual;hmph aboard blissfully;canine uh-huh decode;discrete wavy sorrel;terribly;well-documented trifle;logic infiltrate;sedately bah yowza;shakily eager;acidly;drat;endanger though broadly
9;yippee excluding;afore;10925;knobby when;keenly pasteurise;gee ew;Uriah;Kreiger;yowza;barring lest;comptroller down;small;toward eventually;around kiss;from;demystify pro till;for provided drab;jubilantly yahoo geez;heifer balalaika while;glee province;silently;consequently warden;wrongly yuck budget;reek yahoo although;abaft concerning;hm frugal
10;sugary jovially morphology;ouch kiddingly onto;26553;beside unaccountably;innocent;superb shackle;Kathleen;Reilly;er hustle recognition;athwart mindless psst;abbreviation strife for;yieldingly scull;versus;handsaw evenly;carburise;oh rapidly occasion;across times cold;since;burrow pfft complete;who subsection axe;hence instead bah;deputise oddly nocturnal;reproachfully what inexperienced;frenetically cocoa;ref ha;versus
